,kidneySRR8374780,kidneySRR8374781,liverSRR8374774,liverSRR8374775,lungSRR8374778,lungSRR8374779,sIntestineSRR8374776,sIntestineSRR8374777
ENSMUSG00000029163,139,292,113,114,689,893,189,218
ENSMUSG00000029165,125,271,14,36,174,216,80,79
ENSMUSG00000029166,380,729,325,351,919,1262,347,328
ENSMUSG00000029167,796,2560,226,138,113,85,985,528
ENSMUSG00000029168,0,4,0,0,79,111,21,18
ENSMUSG00000029169,4871,2684,2946,3564,4898,2784,1266,1014
ENSMUSG00000029171,113,161,22,32,218,350,1352,815
ENSMUSG00000029173,397,1234,318,599,337,460,617,448
ENSMUSG00000029174,778,1837,63,70,336,515,333,311
ENSMUSG00000029175,347,471,124,177,312,455,220,211
ENSMUSG00000029176,405,675,80,178,762,934,287,251
ENSMUSG00000029177,17,44,41,62,264,296,469,388
ENSMUSG00000029178,527,1159,522,651,2143,2606,2077,1186
ENSMUSG00000029179,107,234,42,73,207,358,203,196
ENSMUSG00000029182,1,1,0,0,81,139,0,0
ENSMUSG00000029184,0,0,0,0,2,0,0,0
ENSMUSG00000029185,53,105,172,270,455,572,362,321
ENSMUSG00000029186,189,340,238,218,1079,1423,1319,1155
ENSMUSG00000029188,63,67,25,29,15008,17593,1458,173
ENSMUSG00000029189,742,1419,110,130,71,87,1261,842
ENSMUSG00000029190,99,459,25,65,112,103,190,115
ENSMUSG00000029191,296,553,150,203,509,709,284,207
ENSMUSG00000029192,536,1207,131,164,479,670,717,519
ENSMUSG00000029193,1468,1765,3,5,769,1081,19,53
ENSMUSG00000029195,0,2,199,248,2,3,5,1
ENSMUSG00000029196,218,426,88,138,155,204,101,68
ENSMUSG00000029198,1908,1914,766,901,467,607,478,546
ENSMUSG00000029199,851,961,349,392,395,562,436,410
ENSMUSG00000029201,1473,1743,1340,1285,434,630,4229,4434
ENSMUSG00000029202,353,873,319,367,752,917,631,455
ENSMUSG00000029203,1075,1151,384,445,734,963,648,645
ENSMUSG00000029204,5,1,3,4,169,390,51,39
ENSMUSG00000029205,0,5,1,1,19,25,5,21
ENSMUSG00000029206,4,49,1,2,80,88,0,2
ENSMUSG00000029207,294,592,57,63,427,622,137,141
ENSMUSG00000029208,219,676,93,108,302,369,221,139
ENSMUSG00000029209,220,234,25,48,208,255,68,42
ENSMUSG00000029211,2,16,0,0,9,8,0,2
ENSMUSG00000029212,7,25,0,0,7,17,3,2
ENSMUSG00000029213,657,745,149,187,569,792,287,278
ENSMUSG00000029217,234,534,231,270,233,348,293,226
ENSMUSG00000029219,0,2,0,0,4,2,11,11
ENSMUSG00000029221,1768,3107,450,592,1192,1551,847,624
ENSMUSG00000029223,43,47,1,0,103,44,87,68
ENSMUSG00000029227,129,283,82,101,265,335,158,147
ENSMUSG00000029228,65,228,9,23,32,65,269,164
ENSMUSG00000029229,203,294,156,187,626,927,344,354
ENSMUSG00000029231,107,357,26,34,1974,3214,172,163
ENSMUSG00000029233,301,390,71,77,404,490,184,189
ENSMUSG00000029234,423,669,99,144,1025,1411,842,624
ENSMUSG00000029235,0,0,0,0,1,0,0,0
ENSMUSG00000029236,0,0,0,0,0,0,6,8
ENSMUSG00000029238,936,801,727,1012,1138,1109,780,606
ENSMUSG00000029245,2,6,0,1,3,12,10,5
ENSMUSG00000029246,446,833,215,239,162,288,97,98
ENSMUSG00000029247,4431,5986,2477,2601,1714,2122,417,376
ENSMUSG00000029248,0,0,0,0,5,6,5,4
ENSMUSG00000029249,176,449,98,109,317,405,142,153
ENSMUSG00000029250,1016,1826,335,374,917,1152,371,386
ENSMUSG00000029253,109,202,22,78,257,374,178,129
ENSMUSG00000029254,41,54,3,5,213,321,44,55
ENSMUSG00000029255,0,0,0,0,1,1,0,0
ENSMUSG00000029260,412,616,4484,5743,27,7,8547,7176
ENSMUSG00000029263,227,677,69,98,196,272,152,117
ENSMUSG00000029265,540,862,137,214,625,797,462,360
ENSMUSG00000029267,437,301,228,291,498,251,156,70
ENSMUSG00000029268,0,0,0,0,0,0,0,0
ENSMUSG00000029269,258,502,232,277,14,5,6208,4886
ENSMUSG00000029270,443,494,86,127,274,441,94,60
ENSMUSG00000029272,1,0,0,1,2,1,0,0
ENSMUSG00000029273,9217,12905,981,1053,210,160,4505,2488
ENSMUSG00000029275,1,1,2,1,21,30,53,38
ENSMUSG00000029276,0,9,1,2,4,7,3,1
ENSMUSG00000029279,45,62,26,54,51,85,20,20
ENSMUSG00000029280,0,0,0,0,0,0,0,0
ENSMUSG00000029281,0,0,0,0,0,0,0,0
ENSMUSG00000029282,0,0,0,0,0,3,0,0
ENSMUSG00000029283,5,26,8,12,136,239,109,67
ENSMUSG00000029286,0,0,0,0,1,1,0,4
ENSMUSG00000029287,109,365,43,65,770,1191,79,59
ENSMUSG00000029288,0,0,0,0,1,0,1,0
ENSMUSG00000029290,201,550,84,112,437,594,225,191
ENSMUSG00000029291,882,2428,294,417,206,322,371,344
ENSMUSG00000029298,0,0,0,0,0,0,0,0
ENSMUSG00000029299,5,9,36,71,118,234,106,93
ENSMUSG00000029304,9983,12926,556,1049,1670,1067,26,27
ENSMUSG00000029306,0,1,0,0,0,0,1,1
ENSMUSG00000029307,0,0,0,0,0,0,4,3
ENSMUSG00000029309,228,500,51,75,8114,10186,750,903
ENSMUSG00000029310,670,799,206,210,445,574,279,278
ENSMUSG00000029311,1008,1413,286,386,402,562,1406,1416
ENSMUSG00000029312,108,217,29,22,138,209,25,20
ENSMUSG00000029313,278,1322,128,228,894,1035,462,289
ENSMUSG00000029314,104,136,15,27,41,96,1150,876
ENSMUSG00000029319,1832,2070,361,475,893,1122,901,830
ENSMUSG00000029320,0,1,0,1,0,4,0,0
ENSMUSG00000029321,16,56,7,6,504,738,22,11
ENSMUSG00000029322,158,145,67,92,441,696,16703,19965
ENSMUSG00000029326,86,144,37,27,237,259,195,150
ENSMUSG00000029328,590,1403,580,726,2692,3503,1438,1272
ENSMUSG00000029330,514,910,5,8,500,591,2497,1987
ENSMUSG00000029331,0,0,0,0,0,0,0,0
ENSMUSG00000029334,12,22,4,4,354,454,1076,803
ENSMUSG00000029335,11,48,0,2,411,680,226,152
ENSMUSG00000029337,0,0,0,0,0,1,0,0
ENSMUSG00000029338,49,114,146,177,673,994,293,270
ENSMUSG00000029343,1,2,0,0,4,5,5,6
ENSMUSG00000029344,252,333,292,319,936,1225,126,167
ENSMUSG00000029345,186,355,108,161,233,323,215,174
ENSMUSG00000029346,59,98,32,41,78,107,43,43
ENSMUSG00000029348,0,2,0,0,3,3,9,12
ENSMUSG00000029352,1,35,6,5,67,113,121,127
ENSMUSG00000029359,269,298,5,1,38,34,18,26
ENSMUSG00000029360,0,0,0,0,0,0,0,0
ENSMUSG00000029361,5,18,1,2,5,2,22,13
ENSMUSG00000029363,132,188,53,68,114,142,217,182
ENSMUSG00000029364,1556,2019,339,395,694,845,1227,635
ENSMUSG00000029366,61,94,35,42,219,356,165,167
ENSMUSG00000029368,2227,892,950718,939435,2079,1303,392,282
ENSMUSG00000029369,433,853,2082,2287,49,30,31,25
ENSMUSG00000029370,247,472,78,130,100,198,384,262
ENSMUSG00000029371,1,1,26,2,462,352,6,7
ENSMUSG00000029372,5,0,2,6,166,434,1,2
ENSMUSG00000029373,7,5,5,3,175,324,23,29
ENSMUSG00000029375,35,23,15,26,16481,17861,14,10
ENSMUSG00000029376,178,205,23,35,140,210,90,73
ENSMUSG00000029377,0,0,17,2,2,4,69,47
ENSMUSG00000029378,0,0,0,1,78,67,106,140
ENSMUSG00000029379,0,0,0,0,4,7,0,0
ENSMUSG00000029380,6,21,44,59,29,41,3,2
ENSMUSG00000029381,142,447,35,48,915,1195,982,833
ENSMUSG00000029384,16,6,1,1,11,8,7,4
ENSMUSG00000029385,363,623,237,240,860,1169,1932,1006
ENSMUSG00000029386,111,183,16,16,225,283,33,28
ENSMUSG00000029387,211,292,66,101,209,287,170,186
ENSMUSG00000029388,426,471,198,286,343,516,355,396
ENSMUSG00000029389,78,218,51,71,285,397,143,123
ENSMUSG00000029390,1510,2018,869,958,1441,1628,1378,1093
ENSMUSG00000029392,127,297,18,27,403,510,28,29
ENSMUSG00000029394,333,560,111,161,558,805,264,276
ENSMUSG00000029397,792,1070,238,361,817,1174,475,441
ENSMUSG00000029401,634,654,58,95,315,416,231,250
ENSMUSG00000029402,114,194,14,30,69,84,45,58
ENSMUSG00000029403,191,327,44,42,354,437,49,31
ENSMUSG00000029404,448,499,175,208,465,634,271,311
ENSMUSG00000029405,246,453,105,152,264,204,268,132
ENSMUSG00000029406,100,365,159,254,1179,1653,80,102
ENSMUSG00000029407,611,1481,701,832,793,1021,1114,958
ENSMUSG00000029408,35,71,5,14,33,34,67,64
ENSMUSG00000029409,0,0,0,0,0,0,2,4
ENSMUSG00000029410,5,8,1,1,49,60,47,32
ENSMUSG00000029413,130,179,32,41,1052,1302,480,377
ENSMUSG00000029414,14,21,2,3,42,45,66,63
ENSMUSG00000029415,143,297,66,103,205,307,259,202
ENSMUSG00000029416,208,345,332,296,656,841,155,194
ENSMUSG00000029417,45,24,81,248,89,101,124,151
ENSMUSG00000029419,0,0,0,0,0,0,0,0
ENSMUSG00000029420,1,0,0,1,2,4,42,32
ENSMUSG00000029422,571,1216,224,380,1278,1660,752,601
ENSMUSG00000029423,0,0,0,0,0,0,0,0
ENSMUSG00000029426,370,656,1131,1266,2772,3621,566,614
ENSMUSG00000029427,182,547,88,123,486,658,313,268
ENSMUSG00000029428,132,358,94,133,422,508,56,78
ENSMUSG00000029430,1959,2145,771,824,1728,2301,1802,1822
ENSMUSG00000029431,0,0,0,0,0,0,0,0
ENSMUSG00000029432,969,1022,119,140,506,690,260,237
ENSMUSG00000029433,0,1,0,0,0,0,0,0
ENSMUSG00000029434,422,830,148,189,324,423,201,166
ENSMUSG00000029436,17,31,5,1,29,39,27,13
ENSMUSG00000029437,0,2,0,0,0,1,0,0
ENSMUSG00000029438,644,1779,64,90,316,470,101,99
ENSMUSG00000029439,236,857,130,200,897,1125,388,343
ENSMUSG00000029440,408,480,308,288,295,437,171,190
ENSMUSG00000029442,4,35,4,11,236,310,1,5
ENSMUSG00000029445,0,0,0,0,0,0,0,0
ENSMUSG00000029446,255,326,38,56,157,220,77,86
ENSMUSG00000029447,2213,2975,883,906,1448,1799,1095,1082
ENSMUSG00000029449,0,0,0,0,0,0,0,0
ENSMUSG00000029451,0,0,0,0,0,0,0,0
ENSMUSG00000029452,1120,1485,9,13,225,272,41,56
ENSMUSG00000029454,1,0,0,1,1,1,1,1
ENSMUSG00000029455,7959,10535,12593,12477,6797,9936,1619,1709
ENSMUSG00000029456,751,1361,203,264,105,179,81,99
ENSMUSG00000029458,1028,1893,822,806,538,680,305,303
ENSMUSG00000029461,406,870,295,379,877,1117,304,202
ENSMUSG00000029462,1968,2084,251,303,783,971,534,567
ENSMUSG00000029463,102,158,10,18,152,178,17,18
ENSMUSG00000029464,291,313,97,167,457,564,241,217
ENSMUSG00000029465,1405,1530,370,472,1754,2484,1409,1489
ENSMUSG00000029466,650,1036,171,196,373,566,280,279
ENSMUSG00000029467,2738,7280,1395,1910,3678,4366,2177,1684
ENSMUSG00000029468,5,51,25,14,288,378,73,77
ENSMUSG00000029469,181,383,13,27,431,488,24,31
ENSMUSG00000029470,722,1105,486,521,1069,1429,448,437
ENSMUSG00000029471,178,364,73,90,352,464,53,65
ENSMUSG00000029472,1758,2818,377,416,2288,3047,833,808
ENSMUSG00000029474,309,420,47,88,328,436,164,170
ENSMUSG00000029475,69,177,25,49,121,130,78,54
ENSMUSG00000029477,1,2,0,0,60,67,1,3
ENSMUSG00000029478,184,637,102,142,734,1081,167,194
ENSMUSG00000029480,74,148,44,38,111,188,77,51
ENSMUSG00000029482,2318,2424,261,173,278,481,198,231
ENSMUSG00000029484,211,303,55,62,4920,6000,141,158
ENSMUSG00000029486,364,433,209,296,218,243,268,308
ENSMUSG00000029490,23,90,21,28,52,89,48,49
ENSMUSG00000029491,0,11,3,0,27,19,9,12
ENSMUSG00000029499,315,445,399,329,68,62,23,36
ENSMUSG00000029500,0,1,0,0,1,0,0,0
ENSMUSG00000029501,217,512,152,183,454,550,206,151
ENSMUSG00000029502,166,493,108,173,386,584,273,183
ENSMUSG00000029503,1,0,0,1,5,12,5,24
ENSMUSG00000029504,126,194,47,80,162,278,98,85
ENSMUSG00000029505,195,910,264,334,853,1262,507,431
ENSMUSG00000029507,23,33,10,10,7,16,13,9
ENSMUSG00000029510,0,0,0,0,0,0,0,0
ENSMUSG00000029512,444,1180,784,586,680,1036,344,281
ENSMUSG00000029513,117,219,32,49,136,192,63,38
ENSMUSG00000029516,26,108,15,16,110,143,76,80
ENSMUSG00000029517,0,1,0,0,1,1,2,0
ENSMUSG00000029518,455,653,122,142,618,818,473,366
ENSMUSG00000029521,74,123,12,23,174,162,154,164
ENSMUSG00000029522,0,5,0,0,168,146,79,205
ENSMUSG00000029524,114,255,39,64,121,153,49,63
ENSMUSG00000029526,0,0,0,0,0,0,0,0
ENSMUSG00000029528,984,1829,222,224,1477,2235,965,859
ENSMUSG00000029530,2,10,3,2,6,16,7,4
ENSMUSG00000029534,136,219,77,70,209,235,102,109
ENSMUSG00000029535,250,294,108,118,255,317,186,237
ENSMUSG00000029536,418,582,195,261,492,643,285,279
ENSMUSG00000029538,448,560,124,158,466,617,209,229
ENSMUSG00000029541,0,0,0,0,0,0,2,1
ENSMUSG00000029544,9,48,2,1,100,98,15,9
ENSMUSG00000029545,2999,3522,1164,1428,239,365,615,630
ENSMUSG00000029546,7,24,0,0,0,0,0,1
ENSMUSG00000029547,191,492,99,163,411,689,332,362
ENSMUSG00000029550,266,507,135,131,614,952,492,348
ENSMUSG00000029551,7,5,0,5,8,2,24,35
ENSMUSG00000029552,0,0,0,0,0,0,0,0
ENSMUSG00000029553,240,507,17,25,81,69,6,10
ENSMUSG00000029554,67,139,79,100,214,301,141,107
ENSMUSG00000029556,216,368,89,96,1,2,166,122
ENSMUSG00000029557,0,0,0,0,0,0,0,0
ENSMUSG00000029559,754,794,109,140,471,636,298,350
ENSMUSG00000029560,828,1538,116,129,401,613,46,56
ENSMUSG00000029561,70,170,31,43,601,735,931,663
ENSMUSG00000029563,511,10,301,466,494,170,37,35
ENSMUSG00000029564,0,2,2,4,21,29,3,5
ENSMUSG00000029569,399,649,145,147,476,681,183,139
ENSMUSG00000029570,45,190,18,19,470,518,65,52
ENSMUSG00000029571,3707,7204,1471,1732,1414,1940,498,354
ENSMUSG00000029575,300,585,220,254,180,234,94,107
ENSMUSG00000029576,7,11,1,2,203,433,6,6
ENSMUSG00000029577,519,1227,273,380,799,1201,634,606
ENSMUSG00000029578,1275,1927,542,623,813,1197,607,570
ENSMUSG00000029580,5221,5676,2541,3581,21250,28761,24785,15159
ENSMUSG00000029581,49,66,24,17,258,282,22,48
ENSMUSG00000029586,0,0,0,0,0,0,0,0
ENSMUSG00000029587,129,357,51,101,312,394,59,61
ENSMUSG00000029591,16,30,33,49,64,42,78,63
ENSMUSG00000029592,223,347,80,99,209,272,101,98
ENSMUSG00000029594,94,145,34,47,93,142,60,71
ENSMUSG00000029595,0,0,1,0,0,0,3,5
ENSMUSG00000029596,104,139,142,177,15,12,248,302
ENSMUSG00000029597,3,2,1199,1803,13,11,1,0
ENSMUSG00000029598,861,1252,543,539,637,857,180,213
ENSMUSG00000029599,287,508,126,154,328,464,245,187
ENSMUSG00000029600,100,134,15,39,84,114,30,48
ENSMUSG00000029601,7,28,0,1,7,6,8,7
ENSMUSG00000029602,9,18,1,0,30,45,6,9
ENSMUSG00000029603,9,12,4,9,168,269,109,108
ENSMUSG00000029605,16,60,24,23,185,300,79,75
ENSMUSG00000029607,0,0,0,0,0,0,0,0
ENSMUSG00000029608,22,31,0,1,0,0,9,2
ENSMUSG00000029610,92,171,44,33,93,121,127,122
ENSMUSG00000029613,821,1259,283,339,579,860,888,724
ENSMUSG00000029614,4151,4218,1363,1553,4094,5150,3022,3555
ENSMUSG00000029616,1745,2256,441,443,984,1430,749,763
ENSMUSG00000029617,667,919,214,334,738,915,640,550
ENSMUSG00000029618,0,0,1,0,4,3,174,70
ENSMUSG00000029620,0,0,0,0,0,0,0,0
ENSMUSG00000029621,1264,1529,417,505,1651,2157,1446,1382
ENSMUSG00000029622,573,710,294,331,2943,3556,2917,2460
ENSMUSG00000029623,365,592,76,161,360,326,331,306
ENSMUSG00000029624,142,229,62,78,86,119,98,96
ENSMUSG00000029625,111,248,108,143,313,448,228,233
ENSMUSG00000029627,120,157,44,67,105,169,130,134
ENSMUSG00000029629,382,701,150,192,481,667,290,237
ENSMUSG00000029630,25,18,10897,12629,52,14,9802,4470
ENSMUSG00000029632,10826,13072,2264,3037,1608,2224,3316,3593
ENSMUSG00000029633,3,2,7,0,7,1,7,4
ENSMUSG00000029634,943,1679,297,375,738,885,618,447
ENSMUSG00000029635,562,1028,367,396,741,697,595,483
ENSMUSG00000029636,59,243,0,0,157,200,9,18
ENSMUSG00000029638,0,0,0,0,0,0,0,1
ENSMUSG00000029640,276,661,88,133,303,402,520,322
ENSMUSG00000029641,58,129,3,10,254,433,8,25
ENSMUSG00000029642,854,833,238,313,597,820,566,680
ENSMUSG00000029644,0,0,0,0,0,0,37,94
ENSMUSG00000029646,0,0,0,0,0,0,758,566
ENSMUSG00000029647,139,556,69,144,731,1164,394,350
ENSMUSG00000029648,405,1157,95,117,2596,3411,139,181
ENSMUSG00000029649,1114,1143,633,788,961,1375,960,1071
ENSMUSG00000029650,481,656,361,341,260,396,598,437
ENSMUSG00000029651,12,17,8,7,110,150,48,39
ENSMUSG00000029655,308,586,238,323,624,929,482,365
ENSMUSG00000029656,10,4,3356,5185,16,3,0,3
ENSMUSG00000029657,1590,3681,563,611,2555,2041,989,744
ENSMUSG00000029658,0,3,0,4,118,129,0,0
ENSMUSG00000029659,3,1,1,4,154,173,16,10
ENSMUSG00000029660,0,1,0,0,79,97,0,0
ENSMUSG00000029661,385,634,216,327,4907,5103,495,549
ENSMUSG00000029663,0,0,9,8,0,0,4,6
ENSMUSG00000029664,363,292,626,755,78,35,38,26
ENSMUSG00000029669,376,620,1228,1370,858,1234,160,157
ENSMUSG00000029670,271,394,112,102,334,463,119,90
ENSMUSG00000029671,3,15,0,0,0,0,1,1
ENSMUSG00000029672,158,277,133,152,622,806,843,760
ENSMUSG00000029673,151,386,6,14,124,155,156,178
ENSMUSG00000029674,32,59,15,12,242,247,40,33
ENSMUSG00000029675,71,224,35,31,5484,6113,88,83
ENSMUSG00000029676,115,206,19,54,201,336,116,127
ENSMUSG00000029678,0,11,0,4,3,7,1,1
ENSMUSG00000029679,0,1,2,3,1,1,0,0
ENSMUSG00000029680,2,2,0,1,0,1,0,0
ENSMUSG00000029681,369,460,96,99,478,710,257,267
ENSMUSG00000029682,0,0,0,0,0,0,0,0
ENSMUSG00000029683,0,1,3,1,63,67,0,0
ENSMUSG00000029684,995,2189,500,543,858,1082,861,540
ENSMUSG00000029685,25,109,0,1,4,6,2,1
ENSMUSG00000029686,910,1482,406,551,1258,1335,861,652
ENSMUSG00000029687,456,175,284,411,752,383,454,331
ENSMUSG00000029695,7417,12182,3122,3722,130,181,7,6
ENSMUSG00000029697,0,0,0,0,0,0,0,0
ENSMUSG00000029699,36,50,12,33,31,28,30,30
ENSMUSG00000029700,3658,6248,8,11,12,5,1014,1205
ENSMUSG00000029701,440,1130,263,381,1284,1604,406,372
ENSMUSG00000029703,96,188,52,84,304,473,138,134
ENSMUSG00000029705,1162,1800,104,154,588,809,368,335
ENSMUSG00000029706,0,0,0,0,0,0,10,8
ENSMUSG00000029707,0,0,0,0,0,0,17,13
ENSMUSG00000029708,89,254,38,82,206,269,153,152
ENSMUSG00000029710,308,605,98,157,1241,1455,303,322
ENSMUSG00000029711,2,15,0,0,2,8,3,0
ENSMUSG00000029712,0,0,0,0,1,0,2,6
ENSMUSG00000029713,0,0,0,0,0,0,0,0
ENSMUSG00000029714,0,0,0,0,0,0,0,0
ENSMUSG00000029715,0,0,0,0,0,0,0,0
ENSMUSG00000029716,11,13,2736,3087,7,7,3,5
ENSMUSG00000029718,860,1274,52,58,1441,1862,96,101
ENSMUSG00000029720,4,31,3,11,77,81,26,20
ENSMUSG00000029722,326,628,403,372,244,273,84,75
ENSMUSG00000029723,468,702,47,73,788,1185,1040,816
ENSMUSG00000029725,102,123,28,63,133,205,86,97
ENSMUSG00000029726,245,645,161,162,460,705,340,351
ENSMUSG00000029727,41,21,1522,1681,88,73,15531,11261
ENSMUSG00000029729,380,897,241,274,323,507,307,231
ENSMUSG00000029730,247,374,98,136,412,605,410,382
ENSMUSG00000029735,1757,2307,138,196,140,181,318,249
ENSMUSG00000029736,1,3,0,0,1,1,1,0
ENSMUSG00000029752,57,78,36,28,211,315,230,256
ENSMUSG00000029754,0,0,0,0,0,0,0,0
ENSMUSG00000029755,19,0,3,34,37,0,1,1
ENSMUSG00000029757,4,7,0,5,179,186,5,1
ENSMUSG00000029759,84,144,428,688,747,775,230,229
ENSMUSG00000029761,466,1090,1835,2824,2484,3142,701,578
ENSMUSG00000029762,22,30,7,36,206,233,83,94
ENSMUSG00000029763,442,901,153,188,475,587,209,186
ENSMUSG00000029765,17,60,16,17,258,439,20,19
ENSMUSG00000029766,0,0,0,0,0,0,0,0
ENSMUSG00000029767,1176,2147,907,1030,3432,4020,1528,1344
ENSMUSG00000029769,18,61,0,2,63,72,18,17
ENSMUSG00000029771,162,203,105,174,376,540,60,79
ENSMUSG00000029772,1989,4419,122,146,816,1003,2613,2126
ENSMUSG00000029775,793,1864,287,418,496,595,314,294
ENSMUSG00000029776,9881,12091,3200,3662,982,1263,646,656
ENSMUSG00000029777,764,1000,274,278,662,881,593,524
ENSMUSG00000029778,4,19,4,7,58,61,26,21
ENSMUSG00000029780,960,1106,239,216,333,470,351,281
ENSMUSG00000029781,1142,1759,303,287,1728,2311,131,155
ENSMUSG00000029782,169,318,58,107,262,406,140,113
ENSMUSG00000029784,1,2,0,1,1,1,0,0
ENSMUSG00000029787,214,523,123,120,313,443,370,305
ENSMUSG00000029788,2,0,0,0,0,0,0,0
ENSMUSG00000029790,21,48,20,30,89,139,31,38
ENSMUSG00000029797,2,27,14,13,69,104,26,20
ENSMUSG00000029798,45,109,37,98,221,249,174,115
ENSMUSG00000029802,8428,9739,917,1158,525,563,1962,1837
ENSMUSG00000029804,415,966,29,67,206,285,146,164
ENSMUSG00000029810,16323,16022,1720,2188,7085,8791,1733,1932
ENSMUSG00000029811,90,316,10,15,93,95,7239,5681
ENSMUSG00000029813,0,0,0,0,0,0,0,1
ENSMUSG00000029814,19,56,3,16,95,76,28,40
ENSMUSG00000029815,299,325,103,181,151,284,192,216
ENSMUSG00000029816,5,2,0,1,234,247,43,47
ENSMUSG00000029817,410,1512,225,344,1720,2074,950,630
ENSMUSG00000029819,40,34,0,0,3,0,22,23
ENSMUSG00000029821,254,339,65,98,61,101,354,139
ENSMUSG00000029822,1053,2790,6,26,362,479,681,468
ENSMUSG00000029823,440,1919,626,1040,2138,2944,939,815
ENSMUSG00000029826,85,181,155,267,852,1190,818,620
ENSMUSG00000029828,0,8,0,2,1,2,0,0
ENSMUSG00000029829,0,0,0,0,0,0,0,0
ENSMUSG00000029830,86,409,0,1,7,13,0,5
ENSMUSG00000029831,0,0,0,0,0,0,0,0
ENSMUSG00000029832,14,25,1,10,40,71,8,14
ENSMUSG00000029833,264,688,139,102,403,497,288,237
ENSMUSG00000029836,76,221,21,50,235,217,91,53
ENSMUSG00000029837,0,0,0,0,0,0,0,0
ENSMUSG00000029838,102,408,0,2,47,33,64,68
ENSMUSG00000029840,1897,2779,1141,1302,2356,2968,1455,1105
ENSMUSG00000029843,89,143,1,1,16,33,2,1
ENSMUSG00000029844,9,22,2,3,21,28,3,2
ENSMUSG00000029847,1,5,0,0,5,10,1126,580
ENSMUSG00000029848,0,0,0,0,1,4,0,0
ENSMUSG00000029851,18,37,6,6,69,137,72,96
ENSMUSG00000029859,126,281,147,135,164,193,635,341
ENSMUSG00000029860,597,956,330,282,2268,3642,1368,1020
ENSMUSG00000029861,0,0,0,0,3,7,0,0
ENSMUSG00000029862,1,3,0,0,13,9,2,4
ENSMUSG00000029863,132,418,41,65,627,826,666,515
ENSMUSG00000029864,927,955,886,1089,569,847,680,747
ENSMUSG00000029865,0,0,0,0,0,0,2,0
ENSMUSG00000029866,1,3,0,0,0,34,0,0
ENSMUSG00000029867,4,12,0,0,0,0,0,0
ENSMUSG00000029868,20,20,0,0,69,84,12,23
ENSMUSG00000029869,2,20,5,4,60,118,5,8
ENSMUSG00000029875,0,6,0,0,52,113,2,1
ENSMUSG00000029878,0,0,0,0,0,1,3,1
ENSMUSG00000029882,5,3,2,5,3,2,1669,3585
ENSMUSG00000029883,0,1,0,0,0,0,0,0
ENSMUSG00000029885,0,0,0,0,0,1,0,0
ENSMUSG00000029909,0,0,0,0,0,0,0,0
ENSMUSG00000029910,56,91,23,28,158,225,305,278
ENSMUSG00000029911,579,812,179,279,488,610,292,331
ENSMUSG00000029913,49,234,3,5,151,129,10,12
ENSMUSG00000029915,8,4,1,6,53,63,14,11
ENSMUSG00000029916,185,289,34,33,182,238,64,88
ENSMUSG00000029917,0,2,0,1,0,2,0,0
ENSMUSG00000029918,373,416,77,131,188,267,167,161
ENSMUSG00000029919,17,35,4,13,98,74,84,85
ENSMUSG00000029920,142,389,66,127,276,413,136,140
ENSMUSG00000029922,894,1347,149,176,852,1218,1771,1330
ENSMUSG00000029923,29,41,6,3,129,175,159,150
ENSMUSG00000029924,477,864,154,184,499,608,353,323
ENSMUSG00000029925,206,454,29,40,151,174,33,57
ENSMUSG00000029992,377,767,174,266,799,1015,2129,1194
ENSMUSG00000029993,498,675,201,260,341,488,215,262
ENSMUSG00000029994,738,1153,257,348,1596,1903,9211,3859
ENSMUSG00000029998,1191,2018,957,1169,682,1003,394,413
ENSMUSG00000029999,53,100,148,165,272,358,209,149
ENSMUSG00000030000,2,9,1,0,2,8,4,10
ENSMUSG00000030001,0,0,0,0,0,0,0,0
ENSMUSG00000030002,497,2642,404,484,1657,2117,1234,796
ENSMUSG00000030004,5145,5032,208,227,18,13,840,1072
ENSMUSG00000030007,1855,2587,888,984,2235,2530,1224,1350
ENSMUSG00000030008,119,134,42,68,200,249,88,102
ENSMUSG00000030016,372,1214,165,353,1100,1296,482,371
ENSMUSG00000030017,48,15,21,21,4963,4004,13634,10545
ENSMUSG00000030019,0,0,0,0,0,0,0,0
ENSMUSG00000030020,20,67,7,21,699,1078,39,34
ENSMUSG00000030022,63,270,6,11,290,263,19,9
ENSMUSG00000030029,167,312,143,204,285,415,401,331
ENSMUSG00000030030,80,107,14,30,106,135,32,55
ENSMUSG00000030031,23,47,14,13,40,48,35,23
ENSMUSG00000030032,23,23,8,3,51,60,5,6
ENSMUSG00000030034,133,118,49,58,220,274,94,107
ENSMUSG00000030035,1041,1378,320,330,675,890,678,680
ENSMUSG00000030036,374,528,376,412,406,586,401,401
ENSMUSG00000030037,0,0,0,0,0,0,0,0
ENSMUSG00000030041,3,2,0,1,27,34,11,13
ENSMUSG00000030042,768,793,221,222,533,731,261,268
ENSMUSG00000030043,1,0,1,0,27,44,23,13
ENSMUSG00000030045,227,307,74,106,178,212,180,206
ENSMUSG00000030046,0,0,7,13,0,0,0,0
ENSMUSG00000030047,10,28,12,28,290,533,38,47
ENSMUSG00000030048,6,3,1,4,24,19,45,4127
ENSMUSG00000030049,2,0,0,0,1,0,0,631
ENSMUSG00000030050,2,0,1,1,1,0,0,460
ENSMUSG00000030051,33,76,26,27,114,121,70,48
ENSMUSG00000030054,1,0,0,3,36,64,0,1
ENSMUSG00000030055,0,0,0,0,0,0,0,0
